,Nombre municipio
316,HONDA
317,CAMPO DE LA CRUZ
318,TIMBIQUI
319,TUBARA
320,BOJAYA (BELLAVISTA)
321,BECERRIL
322,CABUYARO
323,COPER
324,CAQUEZA
325,CHOCONTA
326,LA MESA
327,SAN ANTONIO DE TEQUENDAMA
328,LENGUAZAQUE
329,TAURAMENA
330,SESQUILE
331,VALLE DEL GUAMUEZ
332,MOCOA
333,ORITO
334,PUERTO ASIS
335,EL COPEY
336,OLAYA HERRERA(BOCAS DE SATINGA
337,SAN PABLO
338,EL PIÑON
339,CAREPA
340,GUATEQUE
341,PAUNA
342,ZIPACON
343,LA PLAYA
344,ARGELIA
345,GONZALEZ
346,PIOJO
347,COROZAL
348,FRANCISCO PIZARRO (SALAHONDA)
349,NUEVO COLON
350,TASCO
351,MANTA
352,ANOLAIMA
353,JERICO
354,JUNIN
355,PUERTO SALGAR
356,CONDOTO
357,CERTEGUI
358,UBAQUE
359,MARIQUITA
360,BELEN DE UMBRIA
361,SAN JUAN NEPOMUCENO
362,MOMPOS
363,EL PEÑON
364,MONTELIBANO
365,YOLOMBO
366,PUERTO INIRIDA
367,SAN MIGUEL (LA DORADA)
368,OSPINA PEREZ (VENECIA)
369,BARBACOAS
370,TENA
371,AGUA DE DIOS
372,PUEBLO BELLO
373,HATONUEVO
374,CERRO SAN ANTONIO
375,SILVIA
376,YACOPI
377,YACUANQUER
378,OBANDO
379,LOPEZ (MICAY)
380,GIRALDO
381,SAN SEBASTIAN DE BUENAVISTA
382,AMAGA
383,GIRON
384,SAN BERNARDO
385,NARIÑO
386,ALDANA
387,UNGUIA
388,GUAPOTA
389,EL ROSAL
390,EL CHARCO
391,PATIA (EL BORDO)
392,CABRERA
393,TOCA
394,LA LLANADA
395,CHIGORODO
396,CAUCASIA
397,MACHETA
398,MAHATES
399,CUMARAL
400,PUERRES
401,PUPIALES
402,RICAURTE
403,EL CAIRO
404,CONVENCION
405,REPELON
406,FIRAVITOBA
407,COLON
408,RAFAEL REYES (APULO)
409,NEIRA
410,BUENAVISTA
411,ALBAN
412,TOCAIMA
413,ARBOLEDA (BERRUECOS)
414,SAN LORENZO
415,URIBIA
416,SUAN
417,puerto COLOMBIA
418,CORRALES
419,VIOTA
420,GUAITARILLA
421,ANSERMANUEVO
422,EL CARMEN DE BOLIVAR
423,EL PASO
424,LEBRIJA
