,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical"
Cyprus,"26,208",,140 ,,"2,057","24,011",49
Zambia,"24,297",,423 ,,"19,980","3,894",
Uruguay,"23,807",,231 ,,"17,098","6,478",79
Sudan,"23,316",,"1,468 ",,"13,524","8,324",
Ivory Coast,"23,173",,138 ,,"22,301",734,
Senegal,"20,376",,438 ,,"17,885","2,053",35
Mozambique,"19,961",,176 ,,"17,455","2,330",
DRC,"18,738",,610 ,,"14,735","3,393",
Zimbabwe,"18,675",,446 ,,"12,083","6,146",
Angola,"17,974",,413 ,,"11,955","5,606",11
Madagascar,"17,767",,262 ,,"17,298",207,16
French Polynesia,"17,195",,121 ,,"4,842","12,232",19
Botswana,"16,050",,48 ,,"12,927","3,075",1
Mauritania,"15,214",,378 ,,"13,037","1,799",65
Maldives,"13,988",,49 ,,"13,238",701,29
Guinea,"13,862",,81 ,,"13,215",566,24
French Guiana,"13,825",,73 ,,"9,995","3,757",4
Malta,"13,776",,228 ,,"11,613","1,935",18
Cuba,"13,479",,148 ,,"11,390","1,941",18
Jamaica,"13,368",,306 ,,"11,253","1,809",8
Tajikistan,"13,305",,90 ,,"13,153",62,
Cabo Verde,"12,146",,113 ,,"11,665",368,23
Syria,"12,084",,755 ,,"5,824","5,505",
Belize,"11,152",,267 ,,"10,344",541,1
Eswatini,"10,773",,268 ,,"7,377","3,128",67
Haiti,"10,203",,236 ,,"8,725","1,242",
Gabon,"9,641",,66 ,,"9,453",122,7
Thailand,"9,636",,67 ,,"4,521","5,048",1
Rwanda,"9,225",,113 ,,"6,940","2,172",
Réunion,"9,173",,42 ,,"8,706",425,4
Hong Kong,"9,108",,154 ,,"8,258",696,41
Guadeloupe,"8,776",,154 ,,"2,242","6,380",3
Andorra,"8,348",,84 ,,"7,615",649,15
Bahamas,"7,959",,175 ,,"6,297","1,487",1
Burkina Faso,"7,713",,89 ,,"5,533","2,091",
Malawi,"7,611",,203 ,,"5,791","1,617",4
Mali,"7,427",,286 ,,"5,161","1,980",
Trinidad and Tobago,"7,210",,127 ,,"6,774",309,3
Congo,"7,127",,108 ,,"5,846","1,173",
Suriname,"6,750",,130 ,,"6,080",540,7
Guyana,"6,469",,167 ,,"5,990",312,5
Nicaragua,"6,097",,166 ,,"4,225","1,706",
Martinique,"6,091",,43 ,,98,"5,950",4
Mayotte,"6,045",,56 ,,"2,964","3,025",4
Aruba,"5,883",,50 ,,"5,323",510,4
Djibouti,"5,857",,61 ,,"5,766",30,
Iceland,"5,845",,29 ,,"5,690",126,
Equatorial Guinea,"5,286",,86 ,,"5,154",46,
CAR,"4,969",,63 ,,"4,885",21,2
Somalia,"4,726",,130 ,,"3,639",957,
Curaçao,"4,405",,18 ,,"3,479",908,3
Lesotho,"4,351",,76 ,,"1,549","2,726",
Togo,"3,845",,72 ,,"3,560",213,
Gambia,"3,833",,125 ,,"3,677",31,1
Niger,"3,706",,119 ,,"2,253","1,334",3
South Sudan,"3,589",,63 ,,"3,131",395,2
Benin,"3,304",,44 ,,"3,185",75,
Channel Islands,"3,210",,67 ,,"2,756",387,10
Gibraltar,"2,928",,11 ,,"1,639","1,278",86
Sierra Leone,"2,757",,77 ,,"1,973",707,
San Marino,"2,583",,64 ,,"2,179",340,10
Guinea-Bissau,"2,455",,45 ,,"2,398",12,5
Chad,"2,358",,105 ,,"1,918",335,
Liechtenstein,"2,309",,48 ,,"2,084",177,18
New Zealand,"2,188",,25 ,,"2,101",62,
Yemen,"2,104",,610 ,,"1,405",89,23
Liberia,"1,779",,83 ,,"1,406",290,2
